reference_key,external_id,product_name,sku,official_type,presentation,price_cop,image_status,image_url,source_url,active_claims,type,subtype,concern,benefit,ingredient,use,role,stage,system,formulation,finish,relation
admiss-co-official:product:7476694089971,7476694089971,IVAN - ESMALTE TRADICIONAL PERLADOS ADMISS 10 ML - GAMA ROSADO,310241,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Ivan.webp?v=1708028078,https://admiss.com.co/products/ivan-esmalte-para-unas-10ml-e170,14,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso | Perlado,Colección comercial: ESMALTES DE UÑAS | Colección comercial: COLECCION ESPIRITU VIBRANTE | Colección comercial: TODO ADMISS
admiss-co-official:product:7476697039091,7476697039091,JACOBO - ESMALTE TRADICIONAL CREMOSOS ADMISS 10 ML - GAMA FUCSIA,312866,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Jacobo.webp?v=1707341935,https://admiss.com.co/products/jacobo-esmalte-para-unas-10ml,14,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso | Perlado,Colección comercial: ESMALTES DE UÑAS | Colección comercial: COLECCIÓN BON BON | Colección comercial: TODO ADMISS
admiss-co-official:product:7476694876403,7476694876403,JERONIMO - ESMALTE TRADICIONAL CREMOSOS ADMISS 10 ML - GAMA AZUL,311283,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Jeronimo.webp?v=1707425184,https://admiss.com.co/products/jeronimo-esmalte-para-unas-10ml,13,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso | Con partículas,Colección comercial: ESMALTES DE UÑAS | Colección comercial: TODO ADMISS
admiss-co-official:product:7476697334003,7476697334003,JESÚS - ESMALTE TRADICIONAL CREMOSOS ADMISS 10 ML - GAMA ROSADO,312928,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Jesus.webp?v=1707425296,https://admiss.com.co/products/jesus-esmalte-para-unas-10ml,13,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso,Colección comercial: ESMALTES DE UÑAS | Colección comercial: COLECCIÓN STAR | Colección comercial: TODO ADMISS
admiss-co-official:product:7476695073011,7476695073011,JIM - ESMALTE TRADICIONAL PERLADOS ADMISS 10 ML - GAMA MARRON,312427,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Jim.webp?v=1707425341,https://admiss.com.co/products/jim-esmalte-para-unas-10ml,13,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso | Perlado,Colección comercial: ESMALTES DE UÑAS | Colección comercial: TODO ADMISS
admiss-co-official:product:7476695335155,7476695335155,JOSE - ESMALTE TRADICIONAL CREMOSOS ADMISS 10 ML - GAMA FUCSIA,312471,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Jose.webp?v=1707425386,https://admiss.com.co/products/jose-esmalte-para-unas-10ml,12,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso,Colección comercial: ESMALTES DE UÑAS | Colección comercial: TODO ADMISS
admiss-co-official:product:7476693434611,7476693434611,JUANES - ESMALTE TRADICIONAL CREMOSOS ADMISS 10 ML - GAMA ROJO,310205,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Juanes.webp?v=1707425410,https://admiss.com.co/products/juanes-esmalte-para-unas-10ml,13,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso | Perlado,Colección comercial: ESMALTES DE UÑAS | Colección comercial: TODO ADMISS
admiss-co-official:product:7476695171315,7476695171315,JULIAN - ESMALTE TRADICIONAL CREMOSOS ADMISS 10 ML - GAMA AZUL,312467,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/Julian.webp?v=1707425430,https://admiss.com.co/products/julian-esmalte-para-unas-10ml,13,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso | Perlado,Colección comercial: ESMALTES DE UÑAS | Colección comercial: TODO ADMISS
admiss-co-official:product:9137730322675,9137730322675,KIT VACACIONES SUMMER 2025,314355,ESMALTES,,15038.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/files/FRONTAL-EDIT-FINAL314355.webp?v=1750275172,https://admiss.com.co/products/kit-vacaciones-summer-2025,17,Esmalte de uñas,Kit multiproducto | Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Kit multiproducto,Múltiples etapas,Sistema mixto de manicure | Sistema Admiss: Sistema tradicional de manicure,Formulación 10 Free,,Colección BASES PARA UÑAS no coincide con tipo Esmalte de uñas | Colección KITS no coincide con tipo Esmalte de uñas | Colección comercial: ESMALTES DE UÑAS | Colección comercial: BASES PARA UÑAS | Colección comercial: OUTLET | Colección comercial: KITS | Colección comercial: TODO ADMISS
admiss-co-official:product:7991841751283,7991841751283,LENON - ESMALTE TRADICIONAL ADMISS 10ML - GAMA VERDE,313773,ESMALTES,10 ml,4200.0000,remote_reference,https://cdn.shopify.com/s/files/1/0614/7188/3507/products/313773.webp?v=1678981531,https://admiss.com.co/products/lenon-esmalte-tradicional-admiss-10ml-gama-verde,14,Esmalte de uñas,Esmalte tradicional,,Aplicación fácil declarada | Alta cobertura declarada,,,Capa de color,Color,Sistema Admiss: Sistema tradicional de manicure | Sistema tradicional de manicure,Formulación 10 Free,Cremoso,Colección comercial: ESMALTES DE UÑAS | Colección comercial: COLECCIÓN RADIANTE | Colección comercial: TODO ADMISS | Colección comercial: COLECCIÓN ECLIPSE DE COLOR
